r    N(r)    fit    slope3    slope2
# Fractal dimension D_f = 2.648929
# Intercept = 0.033778
# Std error = 0.024347

2.400000000000000355e+00 1.031000000000000050e+01 1.051531842322447474e+01 1.051531842322447474e+01 1.051531842322447474e+01
2.642105263157894957e+00 1.284999999999999964e+01 1.356393672275963880e+01 1.402939851696716644e+01 1.274383610306180969e+01
2.884210526315789558e+00 1.801000000000000156e+01 1.710994505500038443e+01 1.825028185022754457e+01 1.518636591916744827e+01
3.126315789473684603e+00 2.196999999999999886e+01 2.118247646360678260e+01 2.324273525371838645e+01 1.784290787154139224e+01
3.368421052631579204e+00 2.687000000000000099e+01 2.580981549252328122e+01 2.907152555815246942e+01 2.071346196018363628e+01
3.610526315789473806e+00 3.110000000000000142e+01 3.101948616256755997e+01 3.580141959424256726e+01 2.379802818509418572e+01
3.852631578947368851e+00 3.584000000000000341e+01 3.683832518307521298e+01 4.349718419270145375e+01 2.709660654627303700e+01
4.094736842105263008e+00 4.357000000000000028e+01 4.329254369969022775e+01 5.222358618424188137e+01 3.060919704372018657e+01
4.336842105263158054e+00 4.996000000000000085e+01 5.040777997996995907e+01 6.204539239957669849e+01 3.433579967743565220e+01
4.578947368421053099e+00 6.003000000000000114e+01 5.820914482296995374e+01 7.302736966941861851e+01 3.827641444741941257e+01
4.821052631578947256e+00 6.881999999999999318e+01 6.672126104684950576e+01 8.523428482448042587e+01 4.243104135367148189e+01
5.063157894736842302e+00 7.126000000000000512e+01 7.596829809831343994e+01 9.873090469547487658e+01 4.679968039619183884e+01
5.305263157894737347e+00 8.168999999999999773e+01 8.597400260058316235e+01 1.135819961131148261e+02 5.138233157498051895e+01
5.547368421052631504e+00 9.604000000000000625e+01 9.676172548739039314e+01 1.298523259081129311e+02 5.617899489003749380e+01
5.789473684210526550e+00 1.069200000000000017e+02 1.083544462424635242e+02 1.476066609111821322e+02 6.118967034136278471e+01
6.031578947368421595e+00 1.208199999999999932e+02 1.207747946657481179e+02 1.669097679530351002e+02 6.641435792895637746e+01
6.273684210526315752e+00 1.307299999999999898e+02 1.340450705112787659e+02 1.878264138643845627e+02 7.185305765281825074e+01
6.515789473684210797e+00 1.496500000000000057e+02 1.481872612816295316e+02 2.104213654759434178e+02 7.750576951294846140e+01
6.757894736842104955e+00 1.704600000000000080e+02 1.632230584162244895e+02 2.347593896184242510e+02 8.337249350934693837e+01
7.000000000000000000e+00 1.825699999999999932e+02 1.791738720725859650e+02 2.609052531225399889e+02 8.945322964201372429e+01
