r    N(r)    fit    slope3    slope2
# Fractal dimension D_f = 2.769444
# Intercept = -0.341764
# Std error = 0.016599

2.400000000000000355e+00 9.310000000000000497e+00 8.026893131466076525e+00 8.026893131466076525e+00 8.026893131466076525e+00
2.759183673469387976e+00 1.450000000000000000e+01 1.181111659837084105e+01 1.219707208447684366e+01 1.060928755276979807e+01
3.118367346938776041e+00 1.866000000000000014e+01 1.657592072502946579e+01 1.760741410367300119e+01 1.355125588083733490e+01
3.477551020408163662e+00 2.528999999999999915e+01 2.241818295953439133e+01 2.441936053494849546e+01 1.685279811566867991e+01
3.836734693877551727e+00 2.878000000000000114e+01 2.943222874182687576e+01 3.279435272419728165e+01 2.051391425726382778e+01
4.195918367346939348e+00 3.790999999999999659e+01 3.771015459748088716e+01 4.289383201731331496e+01 2.453460430562278916e+01
4.555102040816326969e+00 4.593999999999999773e+01 4.734208381690128675e+01 5.487923976019055061e+01 2.891486826074555694e+01
4.914285714285714590e+00 5.540999999999999659e+01 5.841637339282197416e+01 6.891201729872294379e+01 3.365470612263214178e+01
5.273469387755103099e+00 6.595999999999999375e+01 7.101978463845611600e+01 8.515360597880449234e+01 3.875411789128253304e+01
5.632653061224489832e+00 8.135999999999999943e+01 8.523762605935561965e+01 1.037654471463290378e+02 4.421310356669672359e+01
5.991836734693878341e+00 9.520000000000000284e+01 1.011538745788289049e+02 1.249089821471906845e+02 5.003166314887474186e+01
6.351020408163265962e+00 1.116899999999999977e+02 1.188512795704367448e+02 1.487456523272832953e+02 5.620979663781656654e+01
6.710204081632653583e+00 1.241099999999999994e+02 1.384114530217683523e+02 1.754368990325008042e+02 6.274750403352219053e+01
7.069387755102041204e+00 1.460500000000000114e+02 1.599149483587520422e+02 2.051441636087372444e+02 6.964478533599162802e+01
7.428571428571429713e+00 1.732700000000000102e+02 1.834413298874770817e+02 2.380288874018865499e+02 7.690164054522489323e+01
7.787755102040817334e+00 1.965900000000000034e+02 2.090692343903084236e+02 2.742525117578425693e+02 8.451806966122192932e+01
8.146938775510204067e+00 2.127500000000000000e+02 2.368764260991252115e+02 3.139764780224993501e+02 9.249407268398279314e+01
